station_id,2023-05-06
SNOTEL:1140_AZ_SNTL,1.3
SNOTEL:1141_CO_SNTL,13.4
SNOTEL:1143_AZ_SNTL,2.1
SNOTEL:1144_MT_SNTL,0
SNOTEL:1146_UT_SNTL,5.8
SNOTEL:1147_NV_SNTL,29
SNOTEL:1148_UT_SNTL,0
SNOTEL:1149_UT_SNTL,4.7
SNOTEL:1150_NV_SNTL,0
SNOTEL:1152_NV_SNTL,23.8
SNOTEL:1154_UT_SNTL,25
SNOTEL:1155_NV_SNTL,0
SNOTEL:1156_UT_SNTL,0.9
SNOTEL:1157_WA_SNTL,-9999
SNOTEL:1159_WA_SNTL,0.2
SNOTEL:1160_CO_SNTL,17.2
SNOTEL:1161_CO_SNTL,8.4
SNOTEL:1162_UT_SNTL,9.2
SNOTEL:1166_OR_SNTL,75.4
SNOTEL:1167_OR_SNTL,-9999
SNOTEL:1168_NM_SNTL,22.1
SNOTEL:1169_NM_SNTL,-9999
SNOTEL:1170_NM_SNTL,-9999
SNOTEL:1171_WA_SNTL,9.4
SNOTEL:1172_NM_SNTL,0
SNOTEL:1184_UT_SNTL,3.7
SNOTEL:1185_CO_SNTL,36.4
SNOTEL:1186_CO_SNTL,18.6
SNOTEL:1187_CO_SNTL,16.3
SNOTEL:1192_UT_SNTL,16.2
SNOTEL:1195_NV_SNTL,0
SNOTEL:1196_WY_SNTL,41.2
SNOTEL:1197_UT_SNTL,0.3
SNOTEL:1202_NV_SNTL,-9999
SNOTEL:1203_NV_SNTL,-9999
SNOTEL:1205_NV_SNTL,-9999
SNOTEL:1206_NV_SNTL,-9999
SNOTEL:1209_NV_SNTL,-9999
SNOTEL:1213_NV_SNTL,-9999
SNOTEL:1214_UT_SNTL,0.3
SNOTEL:1215_UT_SNTL,0.6
SNOTEL:1216_UT_SNTL,35.7
SNOTEL:1222_UT_SNTL,30.5
SNOTEL:1223_UT_SNTL,9.2
SNOTEL:1224_UT_SNTL,33.4
SNOTEL:1225_UT_SNTL,18.6
SNOTEL:1226_UT_SNTL,13
SNOTEL:1227_UT_SNTL,5.1
SNOTEL:1228_UT_SNTL,7.1
SNOTEL:1231_WA_SNTL,4.5
SNOTEL:1236_UT_SNTL,0.8
SNOTEL:1242_NV_SNTL,5.3
SNOTEL:1243_NV_SNTL,0.1
SNOTEL:1244_NV_SNTL,15
SNOTEL:1247_UT_SNTL,11
SNOTEL:1248_UT_SNTL,0.4
SNOTEL:1249_UT_SNTL,19.6
SNOTEL:1251_CO_SNTL,25.6
SNOTEL:1252_CO_SNTL,22.4
SNOTEL:1254_NM_SNTL,6.5
SNOTEL:1256_WA_SNTL,0
SNOTEL:1257_WA_SNTL,36
SNOTEL:1258_CA_SNTL,0
SNOTEL:1259_WA_SNTL,0.1
SNOTEL:1261_UT_SNTL,4.4
SNOTEL:1262_NV_SNTL,0
SNOTEL:1263_WA_SNTL,42.8
SNOTEL:1269_UT_SNTL,3.8
SNOTEL:1271_AZ_SNTL,-9999
SNOTEL:1272_NV_SNTL,0
SNOTEL:1276_ID_SNTL,-9999
SNOTEL:1277_CA_SNTL,5.6
SNOTEL:1278_UT_SNTL,16.5
SNOTEL:1280_UT_SNTL,21.6
SNOTEL:1286_MT_SNTL,25.5
SNOTEL:1287_MT_SNTL,15
SNOTEL:2029_ID_SNTL,0
SNOTEL:246_CA_SNTL,-9999
SNOTEL:247_CO_SNTL,-9999
SNOTEL:248_CO_SNTL,-9999
SNOTEL:249_CO_SNTL,-9999
SNOTEL:250_CO_SNTL,-9999
SNOTEL:251_ID_SNTL,-9999
SNOTEL:252_MT_SNTL,-9999
SNOTEL:253_MT_SNTL,-9999
SNOTEL:254_MT_SNTL,-9999
SNOTEL:255_MT_SNTL,-9999
SNOTEL:256_MT_SNTL,-9999
SNOTEL:257_NV_SNTL,-9999
SNOTEL:258_NV_SNTL,-9999
SNOTEL:259_OR_SNTL,-9999
SNOTEL:261_UT_SNTL,-9999
SNOTEL:262_WA_SNTL,-9999
SNOTEL:263_WA_SNTL,-9999
SNOTEL:264_WA_SNTL,-9999
SNOTEL:266_WY_SNTL,-9999
SNOTEL:267_WY_SNTL,-9999
SNOTEL:268_WY_SNTL,-9999
SNOTEL:269_WY_SNTL,-9999
SNOTEL:301_CA_SNTL,6.4
SNOTEL:302_OR_SNTL,24
SNOTEL:303_CO_SNTL,-9999
SNOTEL:304_OR_SNTL,13.5
SNOTEL:305_CO_SNTL,-9999
SNOTEL:306_ID_SNTL,34.6
SNOTEL:308_AZ_SNTL,-9999
SNOTEL:311_MT_SNTL,5.6
SNOTEL:312_ID_SNTL,23.6
SNOTEL:313_MT_SNTL,16.3
SNOTEL:316_NM_SNTL,0.2
SNOTEL:317_WY_SNTL,5.3
SNOTEL:319_ID_SNTL,15.5
SNOTEL:320_ID_SNTL,13.9
SNOTEL:321_NV_SNTL,24.1
SNOTEL:322_CO_SNTL,18.5
SNOTEL:324_ID_SNTL,30.8
SNOTEL:325_WY_SNTL,0.2
SNOTEL:326_WY_SNTL,20.4
SNOTEL:327_CO_SNTL,28
SNOTEL:328_MT_SNTL,19.2
SNOTEL:329_UT_SNTL,4.4
SNOTEL:330_UT_SNTL,12.1
SNOTEL:331_OR_SNTL,3.1
SNOTEL:332_UT_SNTL,65.3
SNOTEL:333_UT_SNTL,26.5
SNOTEL:334_NV_SNTL,27.5
SNOTEL:335_CO_SNTL,18.7
SNOTEL:336_NV_SNTL,2.2
SNOTEL:337_NV_SNTL,31.2
SNOTEL:338_ID_SNTL,28.1
SNOTEL:339_UT_SNTL,35
SNOTEL:340_NV_SNTL,36.2
SNOTEL:341_OR_SNTL,31.6
SNOTEL:342_WY_SNTL,13.6
SNOTEL:344_OR_SNTL,20.8
SNOTEL:345_CO_SNTL,43.6
SNOTEL:346_MT_SNTL,3.2
SNOTEL:347_MT_SNTL,45.4
SNOTEL:348_UT_SNTL,6.3
SNOTEL:349_MT_SNTL,6
SNOTEL:350_WY_SNTL,21.5
SNOTEL:354_SD_SNTL,0
SNOTEL:355_MT_SNTL,8.8
SNOTEL:356_CA_SNTL,63.1
SNOTEL:358_WY_SNTL,14.4
SNOTEL:360_MT_SNTL,20
SNOTEL:363_MT_SNTL,1.4
SNOTEL:364_UT_SNTL,5.3
SNOTEL:365_MT_SNTL,16.9
SNOTEL:366_UT_SNTL,33.2
SNOTEL:368_UT_SNTL,23.9
SNOTEL:370_ID_SNTL,24
SNOTEL:372_AZ_SNTL,-9999
SNOTEL:373_NV_SNTL,3.8
SNOTEL:375_WA_SNTL,14.7
SNOTEL:376_WA_SNTL,17.8
SNOTEL:377_WY_SNTL,11.8
SNOTEL:379_WY_SNTL,3.5
SNOTEL:380_CO_SNTL,13.5
SNOTEL:381_MT_SNTL,0
SNOTEL:385_MT_SNTL,27.9
SNOTEL:386_CO_SNTL,-9999
SNOTEL:387_CO_SNTL,-9999
SNOTEL:388_OR_SNTL,32
SNOTEL:389_WY_SNTL,8.4
SNOTEL:390_UT_SNTL,10.8
SNOTEL:392_UT_SNTL,31.8
SNOTEL:393_UT_SNTL,17
SNOTEL:396_UT_SNTL,17.5
SNOTEL:397_WY_SNTL,-9999
SNOTEL:398_OR_SNTL,6
SNOTEL:399_UT_SNTL,25.4
SNOTEL:401_OR_SNTL,6.9
SNOTEL:402_WY_SNTL,13.8
SNOTEL:403_MT_SNTL,18.3
SNOTEL:406_OR_SNTL,22.7
SNOTEL:407_MT_SNTL,14.4
SNOTEL:409_CO_SNTL,25.5
SNOTEL:410_MT_SNTL,0
SNOTEL:411_ID_SNTL,39.2
SNOTEL:412_CO_SNTL,0.2
SNOTEL:413_MT_SNTL,0
SNOTEL:414_MT_SNTL,20.3
SNOTEL:415_CO_SNTL,13
SNOTEL:416_AZ_SNTL,-9999
SNOTEL:417_NV_SNTL,28
SNOTEL:418_WA_SNTL,31.9
SNOTEL:419_WY_SNTL,21.1
SNOTEL:420_WA_SNTL,10.9
SNOTEL:421_WY_SNTL,-9999
SNOTEL:422_OR_SNTL,0.9
SNOTEL:423_ID_SNTL,8.8
SNOTEL:424_ID_SNTL,13.8
SNOTEL:426_CO_SNTL,6.7
SNOTEL:428_CA_SNTL,56.5
SNOTEL:430_CO_SNTL,3.8
SNOTEL:431_CO_SNTL,31.2
SNOTEL:432_UT_SNTL,8.3
SNOTEL:433_MT_SNTL,1.7
SNOTEL:434_OR_SNTL,9.8
SNOTEL:436_MT_SNTL,28.8
SNOTEL:437_MT_SNTL,6.8
SNOTEL:438_CO_SNTL,19.7
SNOTEL:439_ID_SNTL,40.5
SNOTEL:441_UT_SNTL,-9999
SNOTEL:444_UT_SNTL,10.1
SNOTEL:448_MT_SNTL,10.1
SNOTEL:449_WY_SNTL,24
SNOTEL:450_ID_SNTL,29.2
SNOTEL:451_WY_SNTL,8.8
SNOTEL:452_UT_SNTL,0.4
SNOTEL:455_UT_SNTL,26.3
SNOTEL:457_CO_SNTL,19.5
SNOTEL:458_MT_SNTL,6
SNOTEL:460_WY_SNTL,3.8
