station_id,2022-12-10
SNOTEL:1134_WY_SNTL,1.6
SNOTEL:1135_UT_SNTL,2.7
SNOTEL:1136_NV_SNTL,4.6
SNOTEL:1138_NM_SNTL,0.5
SNOTEL:1139_AZ_SNTL,0.6
SNOTEL:1140_AZ_SNTL,0.0
SNOTEL:1141_CO_SNTL,5.2
SNOTEL:1143_AZ_SNTL,0.7
SNOTEL:1144_MT_SNTL,4.0
SNOTEL:1146_UT_SNTL,2.4
SNOTEL:1147_NV_SNTL,6.1
SNOTEL:1148_UT_SNTL,1.7
SNOTEL:1149_UT_SNTL,1.5
SNOTEL:1150_NV_SNTL,2.3
SNOTEL:1152_NV_SNTL,5.6
SNOTEL:1154_UT_SNTL,6.7
SNOTEL:1155_NV_SNTL,1.8
SNOTEL:1156_UT_SNTL,2.7
SNOTEL:1157_WA_SNTL,-9999.0
SNOTEL:1159_WA_SNTL,4.4
SNOTEL:1160_CO_SNTL,4.5
SNOTEL:1161_CO_SNTL,2.8
SNOTEL:1162_UT_SNTL,4.4
SNOTEL:1166_OR_SNTL,13.8
SNOTEL:1167_OR_SNTL,3.7
SNOTEL:1168_NM_SNTL,3.7
SNOTEL:1169_NM_SNTL,0.3
SNOTEL:1170_NM_SNTL,0.7
SNOTEL:1171_WA_SNTL,6.0
SNOTEL:1172_NM_SNTL,1.9
SNOTEL:1184_UT_SNTL,3.3
SNOTEL:1185_CO_SNTL,5.3
SNOTEL:1186_CO_SNTL,5.3
SNOTEL:1187_CO_SNTL,4.8
SNOTEL:1192_UT_SNTL,5.5
SNOTEL:1195_NV_SNTL,2.6
SNOTEL:1196_WY_SNTL,7.8
SNOTEL:1197_UT_SNTL,2.5
SNOTEL:1202_NV_SNTL,-9999.0
SNOTEL:1203_NV_SNTL,-9999.0
SNOTEL:1205_NV_SNTL,-9999.0
SNOTEL:1206_NV_SNTL,-9999.0
SNOTEL:1209_NV_SNTL,-9999.0
SNOTEL:1213_NV_SNTL,-9999.0
SNOTEL:1214_UT_SNTL,1.7
SNOTEL:1215_UT_SNTL,3.0
SNOTEL:1216_UT_SNTL,7.9
SNOTEL:1222_UT_SNTL,6.1
SNOTEL:1223_UT_SNTL,3.2
SNOTEL:1224_UT_SNTL,6.8
SNOTEL:1225_UT_SNTL,5.5
SNOTEL:1226_UT_SNTL,4.9
SNOTEL:1227_UT_SNTL,3.1
SNOTEL:1228_UT_SNTL,3.0
SNOTEL:1231_WA_SNTL,5.1
SNOTEL:1236_UT_SNTL,2.1
SNOTEL:1242_NV_SNTL,3.8
SNOTEL:1243_NV_SNTL,2.6
SNOTEL:1244_NV_SNTL,4.0
SNOTEL:1247_UT_SNTL,4.5
SNOTEL:1248_UT_SNTL,3.2
SNOTEL:1249_UT_SNTL,4.0
SNOTEL:1251_CO_SNTL,6.7
SNOTEL:1252_CO_SNTL,7.1
SNOTEL:1254_NM_SNTL,3.5
SNOTEL:1256_WA_SNTL,4.3
SNOTEL:1257_WA_SNTL,8.6
SNOTEL:1258_CA_SNTL,2.7
SNOTEL:1259_WA_SNTL,3.0
SNOTEL:1261_UT_SNTL,2.7
SNOTEL:1262_NV_SNTL,1.0
SNOTEL:1263_WA_SNTL,12.2
SNOTEL:1269_UT_SNTL,2.5
SNOTEL:1271_AZ_SNTL,0.5
SNOTEL:1272_NV_SNTL,2.2
SNOTEL:1276_ID_SNTL,-9999.0
SNOTEL:1277_CA_SNTL,4.1
SNOTEL:1278_UT_SNTL,4.6
SNOTEL:1280_UT_SNTL,6.7
SNOTEL:1286_MT_SNTL,7.4
SNOTEL:1287_MT_SNTL,5.1
SNOTEL:2029_ID_SNTL,3.7
SNOTEL:246_CA_SNTL,-9999.0
SNOTEL:247_CO_SNTL,-9999.0
SNOTEL:248_CO_SNTL,-9999.0
SNOTEL:249_CO_SNTL,-9999.0
SNOTEL:250_CO_SNTL,-9999.0
SNOTEL:251_ID_SNTL,-9999.0
SNOTEL:252_MT_SNTL,-9999.0
SNOTEL:253_MT_SNTL,-9999.0
SNOTEL:254_MT_SNTL,-9999.0
SNOTEL:255_MT_SNTL,-9999.0
SNOTEL:256_MT_SNTL,-9999.0
SNOTEL:257_NV_SNTL,-9999.0
SNOTEL:258_NV_SNTL,-9999.0
SNOTEL:259_OR_SNTL,-9999.0
SNOTEL:261_UT_SNTL,-9999.0
SNOTEL:262_WA_SNTL,-9999.0
SNOTEL:263_WA_SNTL,-9999.0
SNOTEL:264_WA_SNTL,-9999.0
SNOTEL:266_WY_SNTL,-9999.0
SNOTEL:267_WY_SNTL,-9999.0
SNOTEL:268_WY_SNTL,-9999.0
SNOTEL:269_WY_SNTL,-9999.0
SNOTEL:301_CA_SNTL,5.9
SNOTEL:302_OR_SNTL,6.0
SNOTEL:303_CO_SNTL,1.4
SNOTEL:304_OR_SNTL,5.4
SNOTEL:305_CO_SNTL,-9999.0
SNOTEL:306_ID_SNTL,9.4
SNOTEL:308_AZ_SNTL,0.0
SNOTEL:311_MT_SNTL,4.8
SNOTEL:312_ID_SNTL,7.5
SNOTEL:313_MT_SNTL,4.2
SNOTEL:316_NM_SNTL,2.1
SNOTEL:317_WY_SNTL,4.4
SNOTEL:319_ID_SNTL,4.5
SNOTEL:320_ID_SNTL,5.2
SNOTEL:321_NV_SNTL,5.4
SNOTEL:322_CO_SNTL,4.9
SNOTEL:324_ID_SNTL,5.6
SNOTEL:325_WY_SNTL,2.9
SNOTEL:326_WY_SNTL,6.8
SNOTEL:327_CO_SNTL,5.6
SNOTEL:328_MT_SNTL,6.8
SNOTEL:329_UT_SNTL,2.4
SNOTEL:330_UT_SNTL,4.5
SNOTEL:331_OR_SNTL,3.3
SNOTEL:332_UT_SNTL,8.8
SNOTEL:333_UT_SNTL,4.1
SNOTEL:334_NV_SNTL,6.1
SNOTEL:335_CO_SNTL,4.4
SNOTEL:336_NV_SNTL,2.5
SNOTEL:337_NV_SNTL,4.7
SNOTEL:338_ID_SNTL,8.9
SNOTEL:339_UT_SNTL,6.8
SNOTEL:340_NV_SNTL,5.4
SNOTEL:341_OR_SNTL,4.8
SNOTEL:342_WY_SNTL,3.7
SNOTEL:344_OR_SNTL,4.4
SNOTEL:345_CO_SNTL,8.8
SNOTEL:346_MT_SNTL,4.8
SNOTEL:347_MT_SNTL,14.3
SNOTEL:348_UT_SNTL,2.8
SNOTEL:349_MT_SNTL,3.0
SNOTEL:350_WY_SNTL,8.2
SNOTEL:354_SD_SNTL,2.1
SNOTEL:355_MT_SNTL,4.0
SNOTEL:356_CA_SNTL,7.7
SNOTEL:358_WY_SNTL,3.5
SNOTEL:360_MT_SNTL,5.4
SNOTEL:363_MT_SNTL,3.7
SNOTEL:364_UT_SNTL,2.1
SNOTEL:365_MT_SNTL,4.8
SNOTEL:366_UT_SNTL,7.9
SNOTEL:368_UT_SNTL,4.4
SNOTEL:370_ID_SNTL,9.4
SNOTEL:372_AZ_SNTL,-9999.0
SNOTEL:373_NV_SNTL,3.4
SNOTEL:375_WA_SNTL,6.7
SNOTEL:376_WA_SNTL,5.5
SNOTEL:377_WY_SNTL,4.2
SNOTEL:379_WY_SNTL,2.8
SNOTEL:380_CO_SNTL,4.2
SNOTEL:381_MT_SNTL,2.8
SNOTEL:385_MT_SNTL,10.8
SNOTEL:386_CO_SNTL,-9999.0
SNOTEL:387_CO_SNTL,2.0
SNOTEL:388_OR_SNTL,8.2
SNOTEL:389_WY_SNTL,2.8
